order_id,email,age,purchase_amount,customer_id,store_location,optional_note,purchase_date,SKU,description,first_name,last_name
1,christina.odonnell@yahoo.com,35.0,240.95,7935402c-3c58-4fa6-83b0-0f3aa09d6b06,Montana,,2023-01-01,VOZ517,Snowboard bindings,Christina,Odonnell
2,michael.jenkins@hotmail.com,19.0,478.15,18807044-9906-4e92-b9b2-a1ebe999f7b1,Montana,,01-15-2023,HIM864,Camo snowboard pants,Michael,Jenkins
3,tina.taylor@gmail.com,25.0,404.39,b40ec4e7-18c8-41a7-b3d5-aef12cdb9e14,NV,,15-01-2023,CNJ654,Snowboard tuning kit,Tina,Taylor
4,carolyn.parker@gmail.com,44.0,,0fa47203-bbe4-477b-9cae-c69ac1401ee8,Montana,,12/31/2023,UDV751,Red winter jacket,Carolyn,Parker
5,,,112.41,f28f005d-5a0e-4e03-9036-3ab9e670e383,California,,01-15-2023,NUQ169,Neck warmer,Rodney,Flores
6,john.schneider@yahoo.com,,369.45,4c511193-b992-45af-8390-55df9a485018,CO,,12/31/2023,MUT247,Freestyle snowboard,John,Schneider
7,barbara.brown@yahoo.com,18.0,86.12,43544bd1-a940-4bca-a94b-88b3a95f8f5b,Nevada,,2023-01-01,123ABC,,Barbara,Brown
8,donald.galloway@hotmail.com,58.0,92.97,5879b25a-b2b2-4932-b57f-c1abb739173e,NV,,2023-01-01,NUQ169,Neck warmer,Donald,Galloway
9,craig.parks@yahoo.com,50.0,30.51,f9d8a4e1-a932-4691-8f85-c15eace39a2a,Colorado,,12/31/2023,123ABC,,Craig,Parks
10,donald.galloway@hotmail.com,58.0,-69.45,5879b25a-b2b2-4932-b57f-c1abb739173e,Nevada,,2023-01-01,XZX706,Long snowboard,Donald,Galloway
11,rodney.flores@hotmail.com,42.0,169.87,f28f005d-5a0e-4e03-9036-3ab9e670e383,MT,,2023-01-01,,,Rodney,Flores
12,cesar.allen@yahoo.com,24.0,70.35,ee7f1ab0-1cd8-4b6e-b7c7-06dc1ac3bc48,UT,,01-15-2023,CNJ654,Snowboard tuning kit,Cesar,Allen
13,cesar.allen@yahoo.com,24.0,64.22,ee7f1ab0-1cd8-4b6e-b7c7-06dc1ac3bc48,Utah,,15-01-2023,UDV751,Red winter jacket,Cesar,Allen
14,steven.bowman@yahoo.com,58.0,190.36,e9f22d4e-d275-4c17-ae11-56bec6750dff,California,,12/31/2023,CNJ654,Snowboard tuning kit,Steven,Bowman
