order_id,email,age,purchase_amount,customer_id,store_location,optional_note,purchase_date,SKU,description,first_name,last_name
1,katie.smith@hotmail.com,38.0,516.46,7e430391-da3b-4ab8-bd2e-63e22a6b97bb,Florida,,15-01-2023,CPT535,Leash,Katie,Smith
2,erika.mcdaniel@yahoo.com,29.0,,4d20709c-9ff4-437a-8172-f390c693cc70,VA,,12/31/2023,CUC263,Traction pad,Erika,Mcdaniel
3,edward.hunt@hotmail.com,62.0,-84.95,41473f03-e37c-4fff-8d91-7a4963d48b8d,Massachusetts,,01-15-2023,CPT535,Leash,Edward,Hunt
4,amanda.shaw@hotmail.com,60.0,40.93,5ccbe607-4190-49cd-a729-8fdf272fd647,New York,,15-01-2023,ZBA521,Surf wax,Amanda,Shaw
5,betty.hicks@hotmail.com,43.0,114.53,38f0c359-adce-46ae-b1cd-8dbaa3453a00,MA,,15-01-2023,ICZ284,Wax comb,Betty,Hicks
6,stephanie.sanders@gmail.com,46.0,503.94,68884de5-2364-49a0-a29b-289a836d25e3,VA,,31/12/2023,abc12,,Stephanie,Sanders
7,ashley.smith@yahoo.com,32.0,386.81,f4f04583-8c20-4bfa-a597-c2c2ec7363c8,Virginia,,01-15-2023,,,Ashley,Smith
8,555-1234,53.0,,b6b2d09b-96a0-4e3a-a7a4-021185e35d50,NY,,01-15-2023,VVL444,Rash guard,Jerry,Rodriguez
9,amanda.hubbard@hotmail.com,62.0,57.02,edf5ecc7-0113-4ade-869a-dfd6fa15683b,FL,,2023-01-01,ZIS343,Sunscreen,Amanda,Hubbard
10,555-1234,43.0,200.33,902057ad-15d3-49a0-bbcc-57b69b631d45,New York,,2023-01-01,ICZ284,Wax comb,Donna,Miller
11,danielle.cooke@hotmail.com,,420.21,2ec7c5e4-5400-4b77-823a-417dd1741fb9,NJ,,2023/01/01,XFP892,Surf helmet,Danielle,Cooke
