transaction_id,account,user_email,transaction_date,amount_due,terms
T001,acmeco,jonny_smith@acmeco.com,2024-03-01T15:00:00Z,200.00,NET30
T002,acmeco,johnny@acmeco.com,2024-03-15T18:30:00Z,150.00,NET60
T003,alpha,jane.smythe@alpha.io,2024-02-20T09:00:00Z,300.00,NET30
T004,alpha,j.smythe@alpha.io,2024-03-05T10:00:00Z,250.00,NET90
T005,company,theresa.nguyen@company.com,2024-04-01T20:00:00Z,400.00,NET30
T006,company,theresa.nguyen@company.com,2024-04-15T21:00:00+09:00,350.00,NET60
T007,melillo,dave.melillo@gmail.com,2024-03-10T12:00:00Z,180.00,NET30
T008,melillo,dave.melillo@gmail.com,2024-03-25T13:00:00-05:00,220.00,NET60
T009,lopez,maria.lopez@gmail.com,2024-04-05T08:00:00Z,275.00,NET30
T010,chen,emily.chen@business.org,2024-03-20T16:00:00-07:00,500.00,NET90 
